OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,HOLC Grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
798,Polygon,6,797,CA,San Diego,La Jolla Hermosa,A4,A,689,"{ ""1"" : ""This area is practically all level, lying along the ocean and extending east to the foot-hills. Restricted to Caucasian race. Residents are professional and retired business men, range of income from $5000.00 to $25,000.00 per year. Average age",0.562698,85.188405,0.487097,10.121616,12.778058,2.902878,91.107397,8.8926,0,85.15237,14.847627,99.999997,0,96.716764,0.038782,0.000081,1
800,Polygon,4,799,CA,San Diego,La Playa,A6,A,673,"{ ""1"" : ""This area is known as La Playa, also includes La Playa Highlands, Ironton, Golden Park and Cabrillo Terrace. There have been constructed during the past year, many fine homes, and the area is highly regarded generally from a residential standpoi",3.483555,90.875297,0,0.158163,3.080085,7.375664,69.12968,30.870314,0,87.504536,12.495458,99.999994,0,54.773829,0.042868,0.000055,1
801,Polygon,3,800,CA,San Diego, ,A7,A,666,"{ ""1"" : ""Topography high, sloping to the Northwest and Southwest, surrounded by canyons with excellent marine view from majority of the home sites. Residents for most part professional, retired and prosperous business men, with income range of $5000.00 u",0.119026,88.687392,0,5.0567,14.914303,4.716065,83.552673,16.447324,0,88.370509,11.629487,99.999996,0,70.292086,0.033192,0.000046,1
803,Polygon,2,802,CA,San Diego, ,A9,A,664,"{ ""1"" : ""This area level but bounded by canyons on the North and West. It is known as Marston Hills and is highly desirable residential district. Inhabitants, professional, retired business men; income range $3500 upward. No racial concentration. Homes a",3.104263,75.3379,0,10.769191,11.443963,11.536038,30.188885,69.81111,1.10146,71.696028,28.303967,99.999995,0,94.611559,0.017494,0.000016,1
804,Polygon,2,803,CA,San Diego,La Jolla Shores,B1,B,697,"{ ""1"" : ""This area lies North and East of La Jolla proper and is practically level and only slightly above sea level and is developed approximately 10% with a nice desirable class of homes; it will not classify as well as A-1 due to its lowness and perce",1.681467,75.610406,0,8.507162,3.799972,8.284125,65.484564,34.515436,0.000541,80.141281,19.858719,99.999999,0,77.263904,0.040185,0.000067,1
805,Polygon,3,804,CA,San Diego,La Playa,B10,B,672,"{ ""1"" : ""This is in the La Playa area lying along the East of Rosecrans Boulevard. Street car transportation on this Boulevard. Lots in this area lying along the bay are high class and probably among the most desirable home sites in the whole area, being",3.483555,90.875297,0,0.158163,3.080085,7.375664,69.12968,30.870314,0,87.504536,12.495458,99.999994,0,54.773829,0.040244,0.00004,1
806,Polygon,6,805,CA,San Diego,Mission Hills,B11,B,665,"{ ""1"" : ""Topography, high, partly level surrounded by canyons. Many of rim lots have fine views. Residents of this area white collar professional, retired business men, range of income from $1500 to $8000 per year. No infiltration of any inharmonious inf",0.119026,88.687392,0,5.0567,14.914303,4.716065,83.552673,16.447324,0,88.370509,11.629487,99.999996,0,70.292086,0.09261,0.000279,1
809,Polygon,2,808,CA,San Diego, ,B14,B,678,"{ ""1"" : ""Topography generally level, bounded by canyons. Residents white collar classes, business men, clerks, etc. Income range $2500 to $6000. No racial concentration. No threat of foreign infiltration. Homes show pride of ownership. Construction type;",0.111282,75.17555,1.805215,5.538178,17.208729,12.157605,42.074168,57.925838,0,94.676647,5.32336,100.000007,0,100.000007,0.02339,0.000013,1
810,Polygon,3,809,CA,San Diego, ,B15,B,663,"{ ""1"" : ""Similar in topography and comparable in every respect to B-14. This area lies adjacent to A-9 and highly desirable from a residential standpoint. "" }",3.104263,75.3379,0,10.769191,11.443963,11.536038,30.188885,69.81111,1.10146,71.696028,28.303967,99.999995,0,94.611559,0.033361,0.000025,1
811,Polygon,4,810,CA,San Diego, ,B16,B,684,"{ ""1"" : ""This area comparable to B-20 in all respects excepting that the western part of this area has a larger portion of two-story homes than the balance of the area, and is a shade higher in grade. "" }",4.475777,75.426951,1.468904,4.593774,23.188718,3.40311,40.449217,59.550778,0.528999,82.689223,17.310772,99.999994,0,87.422242,0.072825,0.000082,1
814,Polygon,4,813,CA,San Diego,South Park,B19,B,640,"{ ""1"" : ""Topography generally level. Residents professional and retired business men. Income range from $2000 to $6000. - no racial concentration and no threat of foreign infiltration. Homes generally well maintained with an average age of from ten to tw",2.838442,80.712662,0.331328,5.635059,17.785969,7.89046,49.310851,50.689149,0,87.536852,12.463147,99.999999,0,85.53203,0.028672,0.000034,1
815,Polygon,5,814,CA,San Diego,La Jolla Shores,B2,B,693,"{ ""1"" : ""This area is located in the northwesterly portion of La Jolla, lying along the ocean. The topography is level with gentle slopes. It is easily accessible to the business district, playgrounds, schools and beaches of La Jolla. The homes, for the",3.28351,75.640469,0,8.476815,10.422104,8.446965,48.579297,51.420699,0.007295,79.043367,20.956629,99.999996,0,93.015795,0.02948,0.000029,1
816,Polygon,6,815,CA,San Diego, ,B20,B,683,"{ ""1"" : ""This is an area similar in some respects to B-21. Topography is mesa and canyons. Canyon lots are developed with a better type of improvement than mesa lots. Residents are clerks, mechanics, small business men, with an income range from $1500 to",2.806277,83.05708,0.001257,5.015562,4.985084,1.565957,79.766955,20.233048,0,88.961715,11.038287,100.000003,0,77.093421,0.036637,0.000065,1
817,Polygon,8,816,CA,San Diego,Kensington Park and Kensington Annex,B21,B,652,"{ ""1"" : ""This area is known as Kensington Park and Kensington Annex. This is an older area than either A-11 or A-12. Topography, level with one shallow canyon in the area. Residents for the most part are retired, professional and business men, etc., with",2.806277,83.05708,0.001257,5.015562,4.985084,1.565957,79.766955,20.233048,0,88.961715,11.038287,100.000003,0,77.093421,0.060367,0.000103,1
818,Polygon,7,817,CA,San Diego,"Redland Gardens, Montecello, Montemar-Vista",B22,B,655,"{ ""1"" : ""The topography of land; gentle slope to the West. Eastern portion of area is known as Redland Gardens. White collar classes; business men and professional people. Income range $2000 to $6000. Average age of construction approximately eight years",3.033845,84.259147,0.31481,4.138781,21.448809,9.575083,71.00465,28.995342,0,93.002257,6.997736,99.999993,0,86.819593,0.060504,0.0001,1
819,Polygon,2,818,CA,San Diego, ,B23,B,648,"{ ""1"" : ""Topography level with gentle canyons in the East. Residents white collar classes, clerks, skilled mechanics and small business men. Income range $1500 to $2500. Homes for the most part well maintained and show pride of ownership. Typical improve",17.152413,59.627329,0,2.914477,54.610607,27.54591,41.068447,58.931553,0,74.457429,25.542571,100,0,96.724891,0.008928,0.000004,1
820,Polygon,3,819,CA,San Diego,La Jolla,B3,B,695,"{ ""1"" : ""This area located East of the business district of La Jolla. Approximately 95% developed. Homes predominantly one of two story frame and frame stucco construction, ranging in cost from $3000.00 to $7500.00. Population business men, retired resid",3.28351,75.640469,0,8.476815,10.422104,8.446965,48.579297,51.420699,0.007295,79.043367,20.956629,99.999996,0,93.015795,0.024204,0.000023,1
821,Polygon,7,820,CA,San Diego,La Jolla,B4,B,691,"{ ""1"" : ""Topography of this area is nearly all level. Residents embrace nearly all types of professions and are all white. No threat of any foreign infiltration. Homes are well maintained. Streets attractive and practically all paved. The homes, for the",0.266359,96.629399,0,1.888573,7.380149,7.9919,44.67959,55.320413,0,82.523461,17.476542,100.000004,0,94.446417,0.053042,0.000089,1
822,Polygon,2,821,CA,San Diego, ,B5,B,688,"{ ""1"" : ""Topography level and gently sloping. Residents - business men, retired people, professional men and skilled workmen. Income range from $1500. To $6000. 100% white population. No threat of foreign infiltration. Homes well maintained and attractiv",0.115031,88.043308,0.089117,4.935126,7.370081,4.373415,75.785401,24.214595,0.87154,81.748169,18.251827,99.999996,0,98.624845,0.026088,0.000023,1
823,Polygon,3,822,CA,San Diego,Ocean Beach,B6,B,699,"{ ""1"" : ""Topography level. Residents white, no racial concentration. Residents white collar classes, income range from $1500 to $3000 per year, small business men, retired and skilled workmen. Predominantly one story homes, frame and frame stucco, cost r",0.242584,97.849048,0.219937,0.317565,9.80944,0.607806,33.718552,66.281449,0,92.535285,7.464716,100.000001,0,98.126765,0.015295,0.000012,1
824,Polygon,5,823,CA,San Diego,East Ocean Beach,B7,B,676,"{ ""1"" : ""This area lies along the top of the hill above Ocean Beach, affording an excellent view of the Pacific Ocean and Mission Bay. At present there is considerable building activity in attractive homes which are predominantly stucco, ranging in cost",0.274425,78.502343,0.213557,0.440692,18.469667,4.224239,76.47169,23.528312,0.654188,92.895935,7.104067,100.000002,0,86.773487,0.040431,0.000041,1
825,Polygon,2,824,CA,San Diego, ,B8,B,698,"{ ""1"" : ""This area comparable in all respects to B-7."" }",0.274425,78.502343,0.213557,0.440692,18.469667,4.224239,76.47169,23.528312,0.654188,92.895935,7.104067,100.000002,0,86.773487,0.022217,0.000015,1
827,Polygon,4,826,CA,San Diego,La Jolla,C1,C,694,"{ ""1"" : ""This is one of the oldest sections in La Jolla, and is comparatively level, lying some twenty or thirty feet above sea level. It borders the business district and a \""colored\"" areas, (D-1) on the north and northeast, while on the east and south",4.712636,75.052108,0,4.813965,11.831981,10.296769,52.85128,47.14872,0,72.391756,27.608244,100,0,91.077631,0.025459,0.000025,1
829,Polygon,8,828,CA,San Diego,University Heights,C11,C,645,"{ ""1"" : ""Topography practically level. Inhabited for the most part by lower salaried white-collar classes, mechanics, laborers, etc. Probable range of income $1000 to $2000 per year. Residents mostly white with some Mexican families, although no racial c",4.475777,75.426951,1.468904,4.593774,23.188718,3.40311,40.449217,59.550778,0.528999,82.689223,17.310772,99.999994,0,87.422242,0.099312,0.000394,1
830,Polygon,5,829,CA,San Diego, ,C12,C,658,"{ ""1"" : ""Topography high, land sloping to the west overlooking San Diego City. This is a close-in area, residents being of the business and professional classes, with income range of $2000 to $6500. No racial concentration. No threat of foreign infiltrat",2.186221,84.122252,0.643284,3.677711,24.940794,12.7541,48.168613,51.831386,0,86.402328,13.597671,99.999999,0,77.12518,0.032657,0.000035,1
831,Polygon,7,830,CA,San Diego,Brooklyn Heights,C13,C,639,"{ ""1"" : ""Topography, eastern portion, level and rolling. Western portion badly cut up with canyons. Residents white-collar, retired business men, skilled mechanics. Income range $1500 to $5000. A few better class Mexicans coming in to southern portion. H",2.838442,80.712662,0.331328,5.635059,17.785969,7.89046,49.310851,50.689149,0,87.536852,12.463147,99.999999,0,85.53203,0.05306,0.000128,1
833,Polygon,10,832,CA,San Diego,East San Diego,C15,C,651,"{ ""1"" : ""Topography level with a few shallow canyons. This area is only slightly lower than B-16 and in practically all respects similar to it. The homes are not quite so well integrated. Some of the residents are somewhat lower in social strata than in",2.806277,83.05708,0.001257,5.015562,4.985084,1.565957,79.766955,20.233048,0,88.961715,11.038287,100.000003,0,77.093421,0.089176,0.000285,1
834,Polygon,8,833,CA,San Diego,East San Diego,C16,C,646,"{ ""1"" : ""This area is comparable to C-11 and C-15 in every respect. It is known as East San Diego. Business area extends all along El Cajon Boulevard and along University Avenue."" }",17.152413,59.627329,0,2.914477,54.610607,27.54591,41.068447,58.931553,0,74.457429,25.542571,100,0,96.724891,0.085767,0.000221,1
836,Polygon,6,835,CA,San Diego,East San Diego,C18,C,650,"{ ""1"" : ""Topography level and small canyon. Residents for the most part white with average income not exceeding $1500. Homes are not well integrated and no conformity as to style or design has been carried out in this area. No building restrictions. Aver",3.891872,70.581121,1.186341,10.37622,25.532301,9.880371,51.268115,48.731888,0.003035,76.721076,23.278926,100.000002,0,91.084944,0.028867,0.00005,1
838,Polygon,3,837,CA,San Diego,Pacific Beach,C2,C,677,"{ ""1"" : ""Topography is level, slope toward foothills on the east and north. Residents - business men, skilled laborers and few retired people. There is a slight infiltration of Mexicans, balance of population white. There is no threat of any excessive in",1.120042,85.267843,0.108328,2.971756,18.267793,9.0914,19.807138,80.19286,0.823617,72.210882,27.789116,99.999998,0,85.295606,0.094112,0.000244,1
839,Polygon,2,838,CA,San Diego, ,C20,C,681,"{ ""1"" : ""This is a small subdivision. Topography slightly rolling. Streets not paved. Owing to heavy Mattoon assessments the area is very sparsely settled and probably should not have been graded at all, however, it is a slightly little area and would pr",17.204427,30.161541,0,18.649179,43.721849,7.804145,73.454716,26.545278,16.682688,90.363623,9.636371,99.999994,0,95.614889,0.019447,0.000023,1
840,Polygon,3,839,CA,San Diego,El Cajon Blvd,C21,C,657,"{ ""1"" : ""This area lies along El Cajon Blvd. East of A-14 or the State College area. Sparsely built up with more or less attractive homes of approximately four to seven rooms, certain portions of the area, especially along El Cajon Blvd. Are quite desira",4.380046,71.180155,4.045307,10.256492,17.623548,19.300128,53.399665,46.600337,2.3565,88.449977,11.550025,100.000002,0,75.741156,0.071926,0.000113,1
842,Polygon,3,841,CA,San Diego,Mission Beach,C3,C,685,"{ ""1"" : ""This area is known as Mission Beach. It is a strip of sand lots, 2 1/2 miles of peninsula, running north and south between Pacific Ocean, with beach the entire length and Mission Bay State park on the east. This area has average approximate widt",1.120042,85.267843,0.108328,2.971756,18.267793,9.0914,19.807138,80.19286,0.823617,72.210882,27.789116,99.999998,0,85.295606,0.059213,0.000052,1
843,Polygon,5,842,CA,San Diego,Ocean Beach,C4,C,675,"{ ""1"" : ""This area comprises the main part of Ocean Beach and part of its western section borders the Pacific Ocean and it rises to considerable height in its eastern part. The area is transverses by several canyons. Residents largely of the laboring cla",0.242584,97.849048,0.219937,0.317565,9.80944,0.607806,33.718552,66.281449,0,92.535285,7.464716,100.000001,0,98.126765,0.091358,0.000161,1
846,Polygon,4,845,CA,San Diego,Point Loma,C7,C,671,"{ ""1"" : ""This area is comparable in every respect to C-6."" }",3.483555,90.875297,0,0.158163,3.080085,7.375664,69.12968,30.870314,0,87.504536,12.495458,99.999994,0,54.773829,0.030404,0.000051,1
848,Polygon,4,847,CA,San Diego, ,C9,C,659,"{ ""1"" : ""Topography level and sloping, some canyons. Residents white-collar classes, professional, retired and business men, with income range from $1000 to probably $6000. No immediate threat of foreign infiltration. Pride of ownership in this area as w",3.242013,76.048764,0.614499,7.088543,18.401443,2.889395,52.698575,47.301423,0,66.318817,33.681182,99.999998,0,81.791122,0.084914,0.000161,1
849,Polygon,4,848,CA,San Diego,La Jolla,D1,D,692,"{ ""1"" : ""This area is known as the servants' quarters of La Jolla, being populated with the serving class of whites, negroes and Mexicans. While populated with this lower social strata, the area is considered good security for conservative loans. The are",0.795264,81.73788,0,12.172739,10.97338,3.826138,39.460858,60.539148,0,79.844994,20.155012,100.000007,0,94.97976,0.01447,0.000013,1
850,Polygon,5,849,CA,San Diego, ,D10,D,679,"{ ""1"" : ""This area rolling, hilly, many canyons. Sparsely settled. The homes as a rule are small but no conformity whatever to type and show little pride of ownership. This is due to heavy Mattoon Assessment in most of the area, which has retarded the gr",17.204427,30.161541,0,18.649179,43.721849,7.804145,73.454716,26.545278,16.682688,90.363623,9.636371,99.999994,0,95.614889,0.348932,0.002001,1
851,Polygon,3,850,CA,San Diego,Old Town,D2,D,667,"{ ""1"" : ""This area constitutes what is known as \""Old Town\"" and that describes it quite well. It is the oldest section of the city and many of the houses are more than fifty years old. Residents are of a nondescript type, comprising every element of the",0.119026,88.687392,0,5.0567,14.914303,4.716065,83.552673,16.447324,0,88.370509,11.629487,99.999996,0,70.292086,0.059777,0.000143,1
853,Polygon,5,852,CA,San Diego, ,D4,D,634,"{ ""1"" : ""This area is one of the oldest parts of the city, being inhabited by various types of residents running from Mexicans in some parts of the area to more or less all white in other parts. There is an influx of small industrial plants and businesse",4.347373,73.735515,0.681839,7.016846,35.32988,11.270345,17.358543,82.641457,0,70.610632,29.389368,100,0,95.064541,0.078804,0.000286,1
854,Polygon,7,853,CA,San Diego, ,D5,D,638,"{ ""1"" : ""Topography generally rough, with many canyons. However, some desirable spots. Residents, for the most part, workmen and laborers, with some clerks and other white-collar classes. Range of incomes $900 to $2500. In the middle southern portion a g",4.347373,73.735515,0.681839,7.016846,35.32988,11.270345,17.358543,82.641457,0,70.610632,29.389368,100,0,95.064541,0.079642,0.000213,1
859,Polygon,3,858,CA,San Diego, , ,B,703,"{ """" : """" }",1.120042,85.267843,0.108328,2.971756,18.267793,9.0914,19.807138,80.19286,0.823617,72.210882,27.789116,99.999998,0,85.295606,0.070459,0.000158,1
860,Polygon,2,859,CA,San Diego, , ,B,704,"{ """" : """" }",3.483555,90.875297,0,0.158163,3.080085,7.375664,69.12968,30.870314,0,87.504536,12.495458,99.999994,0,54.773829,0.044022,0.000095,1
861,Polygon,3,860,CA,San Diego, , ,B,705,"{ """" : """" }",0.274425,78.502343,0.213557,0.440692,18.469667,4.224239,76.47169,23.528312,0.654188,92.895935,7.104067,100.000002,0,86.773487,0.055587,0.00013,1
862,Polygon,4,861,CA,San Diego, , ,A,706,"{ """" : """" }",0.562698,85.188405,0.487097,10.121616,12.778058,2.902878,91.107397,8.8926,0,85.15237,14.847627,99.999997,0,96.716764,0.038524,0.000062,1
863,Polygon,4,862,CA,San Diego, , ,A,707,"{ """" : """" }",0.562698,85.188405,0.487097,10.121616,12.778058,2.902878,91.107397,8.8926,0,85.15237,14.847627,99.999997,0,96.716764,0.059872,0.000113,1
864,Polygon,4,863,CA,San Diego, , ,A,708,"{ """" : """" }",3.28351,75.640469,0,8.476815,10.422104,8.446965,48.579297,51.420699,0.007295,79.043367,20.956629,99.999996,0,93.015795,0.033317,0.000049,1
865,Polygon,2,864,CA,San Diego, , ,B,709,"{ """" : """" }",12.257848,60.870138,0.007048,11.174178,19.496714,23.60085,25.690278,74.309718,0.254132,70.826818,29.173178,99.999996,0,93.458889,0.054614,0.000105,1
866,Polygon,5,865,CA,San Francisco, ,A1,A,717,"{ ""1"" : ""This area consists of 35 irregularly-shaped blocks, the greater portion of which is known as Sea Cliff, located at the westerly end of the area. The narrow strip from 27th Avenue east to 16th Avenue is an older district, but it is highly regarde",2.686751,63.85184,0,24.084823,4.376212,5.339897,76.507479,23.492527,0.083297,93.949534,6.050471,100.000006,0,91.224076,0.047372,0.000053,1
867,Polygon,6,866,CA,San Francisco, ,A10,A,772,"{ ""1"" : ""This area of 25 irregularly-shaped blocks is approximately 85% developed. It is known as St. Francis Wood and ranks as one of the best laid out and restricted residential sub-divisions in San Francisco. The restrictions are first-residential, pe",0.308095,68.740235,0.848594,27.809723,5.500547,1.754894,82.655588,17.344409,0,99.985514,0.014483,99.999997,0,81.347329,0.034529,0.000048,1
868,Polygon,7,867,CA,San Francisco, ,A11,A,777,"{ ""1"" : ""This area, with the exception of the two blocks in the northeast, is known as Sherwood Forest, a sub-division placed on the market in 1929 as a high-class residential park with a minimum building restriction of $10,000. The average size of the b",0.308095,68.740235,0.848594,27.809723,5.500547,1.754894,82.655588,17.344409,0,99.985514,0.014483,99.999997,0,81.347329,0.028946,0.000033,1
869,Polygon,6,868,CA,San Francisco, ,A12,A,773,"{ ""1"" : ""This area, consisting of some 20 blocks of various sizes and shapes, is 95% developed, the greater portion is situated in what is known as Balboa Terrace, Tract 1 and 2, with a small portion of the best part of MT. Davidson Manor being included",0.308095,68.740235,0.848594,27.809723,5.500547,1.754894,82.655588,17.344409,0,99.985514,0.014483,99.999997,0,81.347329,0.034525,0.000035,1
870,Polygon,7,869,CA,San Francisco, ,A13,A,776,"{ ""1"" : ""This area of some 25 irregularly-shaped blocks comprises the subdivision which is known as Monterey Heights and the western portion of Westwood Highlands. This area is located on a rolling knoll and slopes in all four directions, affording an ex",0.308095,68.740235,0.848594,27.809723,5.500547,1.754894,82.655588,17.344409,0,99.985514,0.014483,99.999997,0,81.347329,0.03972,0.000041,1
871,Polygon,3,870,CA,San Francisco, ,A2,A,725,"{ ""1"" : ""This area contains approximately three blocks and is secluded court subdivision, very exclusive, and placed on the market about 28 years ago. It is practically 100% built-up, with most of the buildings having been erected some 20 years ago. All",0,46.101905,0,20.089165,33.05502,2.129576,40.343493,59.656514,0,98.302801,1.697206,100.000007,0,99.925241,0.009392,0.000005,1
872,Polygon,6,871,CA,San Francisco, ,A3,A,726,"{ ""1"" : ""This area of some 18 blocks occupies a rolling plateau which rises to a height of more than 300 feet in its southern and eastern parts and slopes gently to the north, furnishing an inspiring view of the \""Golden Gate\"" and the mountains beyond.",0,46.101905,0,20.089165,33.05502,2.129576,40.343493,59.656514,0,98.302801,1.697206,100.000007,0,99.925241,0.030738,0.000026,1
874,Polygon,3,873,CA,San Francisco, ,A5,A,728,"{ ""1"" : ""This neighborhood of some 20 blocks constitutes the highest class residential area in San Francisco. The lot sizes range from 30 to 100 feet frontage, and in 1928 some of the choice lots with unobstructed view were valued for as much as $1,000 p",0.308662,89.248677,0.008965,6.188927,1.577631,3.804639,65.148431,34.851578,0,93.906859,6.09315,100.000009,0,97.165047,0.028962,0.000032,1
875,Polygon,8,874,CA,San Francisco, ,A6,A,769,"{ ""1"" : ""This area, containing some 20 blocks, is the city's newest restricted, single-family residential sub-division, the main portion of which was placed on the market in 1931 and two smaller tracts platted in 1936. This area is located in what is kno",0.308095,68.740235,0.848594,27.809723,5.500547,1.754894,82.655588,17.344409,0,99.985514,0.014483,99.999997,0,81.347329,0.049397,0.000057,1
877,Polygon,9,876,CA,San Francisco, ,A8,A,771,"{ ""1"" : ""This area, consisting of some 26 irregularly-shaped blocks, is 95% developed and consists of what is known as Merrit Terrace, West Portal Park, and Claremont Court. These three tracts were subdivided in 1915; however, there was but little buildi",0.308095,68.740235,0.848594,27.809723,5.500547,1.754894,82.655588,17.344409,0,99.985514,0.014483,99.999997,0,81.347329,0.04632,0.000034,1
880,Polygon,2,879,CA,San Francisco, ,B10,B,743,"{ ""1"" : ""This area known as Francisco Heights, consisting of some 10 level blocks, is largely composed of what was the old Odd-Fellows' Cemetery and is a redeemed area which was taken over and developed within the past several years. It carries deed rest",3.388221,30.719149,2.448115,56.304328,7.739873,14.787469,28.424198,71.575803,0,73.090476,26.909525,100.000001,0,92.444329,0.01813,0.000012,1
883,Polygon,6,882,CA,San Francisco, ,B13,B,729,"{ ""1"" : ""This area is of approximately 25 blocks borders \""A-5\"" on three sides and acts as more or less of a buffer to that area. It is largely located on slopes, some of them quite precipitous. It partakes to some extent of the characteristics of \""A-5",0.308662,89.248677,0.008965,6.188927,1.577631,3.804639,65.148431,34.851578,0,93.906859,6.09315,100.000009,0,97.165047,0.06207,0.000037,1
884,Polygon,2,883,CA,San Francisco, ,B14,B,734,"{ ""1"" : ""This small section of five or six blocks, with Lafayette Square which lies immediately south of it, is the apex of a hill some 300 feet high, which is occupied by the mansions and townhouses of some of the old aristocracy, with incomes ranging f",0.444281,67.754891,0.000038,19.687217,11.83057,5.364098,30.82618,69.173825,0,89.195581,10.804424,100.000005,0,92.239543,0.010912,0.000007,1
888,Polygon,7,887,CA,San Francisco, ,B18,B,764,"{ ""1"" : ""This area of some 57 blocks is practically the same as \""B-16\"" and \""B-17\"". It is, however, zoned first-residential and is a slightly older district. The large banks and other mortgagee institutions generally accord top terms to loans in this",0.896168,44.965103,0.056526,44.014562,4.208585,6.662874,80.981017,19.01898,0,95.334135,4.665862,99.999997,0,96.025197,0.061953,0.000109,1
889,Polygon,4,888,CA,San Francisco, ,B19,B,765,"{ ""1"" : ""The 19 irregularly-shaped blocks composing this area are 35% developed and area known as Pinelake Park. The topography is undulating and admirably suited to residential development. It is inhabited by professional people, business men, and skill",0.896168,44.965103,0.056526,44.014562,4.208585,6.662874,80.981017,19.01898,0,95.334135,4.665862,99.999997,0,96.025197,0.036899,0.000034,1
895,Polygon,5,894,CA,San Francisco, ,B24,B,775,"{ ""1"" : ""This small area of 10 irregularly-shaped blocks is known as Mt. Davidson Manor and lies on the lower reaches of the mountain of the same name. The topography of the area is hilly but favorable for residential purposes. The area is 90% built-up,",0.686467,49.248121,1.800508,36.75429,4.756567,7.858033,99.764151,0.235848,0,94.261825,5.738174,99.999999,0,99.347624,0.017742,0.000013,1
896,Polygon,6,895,CA,San Francisco, ,B25,B,774,"{ ""1"" : ""This area of 32 irregular blocks is known as Ingleside Terrace and is 98% developed. Its topography is of an undulating character, well suited to residential development. Its inhabitants consist largely of professional people, younger business m",0.686467,49.248121,1.800508,36.75429,4.756567,7.858033,99.764151,0.235848,0,94.261825,5.738174,99.999999,0,99.347624,0.034867,0.000061,1
900,Polygon,4,899,CA,San Francisco, ,B29,B,768,"{ ""1"" : ""This area, consisting of some 10 blocks, which are 80% build-up, occupies part of the northeastern slope of Mt. Sutro, some of the grades being quite steep but offering wonderful view locations. The inhabitants are largely professional and busin",0.011963,81.511577,0,9.015237,7.905531,0.565939,67.802897,32.197104,0,98.046814,1.953187,100.000001,0,84.688044,0.016389,0.00001,1
901,Polygon,6,900,CA,San Francisco, ,B3,B,712,"{ ""1"" : ""This area of 10 blocks is 90% built-up with mixed single and multiple family bungalows, houses, and flats, ranging in age from five to 20 years and in value from $3500 to $9,000. It is zoned second-residential, provision being made, however, for",2.686751,63.85184,0,24.084823,4.376212,5.339897,76.507479,23.492527,0.083297,93.949534,6.050471,100.000006,0,91.224076,0.027387,0.000016,1
902,Polygon,5,901,CA,San Francisco, ,B30,B,751,"{ ""1"" : ""This area of some 15 blocks, which are 30% built-up, is known as Mediterranean Terrace and occupies part of the northern slope of Twin Peaks. It is, as the name implies, somewhat in the nature of a terrace, and the approaches are rather steep, t",0.011963,81.511577,0,9.015237,7.905531,0.565939,67.802897,32.197104,0,98.046814,1.953187,100.000001,0,84.688044,0.022447,0.000019,1
903,Polygon,4,902,CA,San Francisco, ,B31,B,784,"{ ""1"" : ""This area of 17 blocks known as Mission Terrace and Colonial Park is 85% built-up and is generally of a level topography. The inhabitants consist of business men, \""white collar\"" employees, and skilled artisans, having an income range of $1500",0.926116,33.542828,0,49.850617,18.533259,3.093249,81.39891,18.601095,0,83.449665,16.55034,100.000004,0,94.254159,0.022953,0.000024,1
904,Polygon,2,903,CA,San Francisco, ,B32,B,787,"{ ""1"" : ""This small area known as Geneva Terrace, consisting of six blocks, is 80% built-up and is similar to area \""B-31\"" except that it is a newer subdivision, having been placed on the market eight years ago with improvements averaging five years. Th",2.713071,13.744756,1.136595,59.20719,28.869152,4.016149,68.106391,31.893612,0,90.790082,9.209921,100.000003,0,82.678658,0.011226,0.000007,1
907,Polygon,3,906,CA,San Francisco, ,B35,B,794,"{ ""1"" : ""This area of approximately 15 blocks known as St. Mary's Park, is 75% developed and is of a generally level topography with some steep slopes on the southern border. The inhabitants consist of business men of the junior executive type, skilled a",1.424518,37.730195,0.112721,37.403254,30.054609,7.667674,56.791215,43.20878,0,77.703026,22.296969,99.999995,0,98.047186,0.01762,0.000015,1
908,Polygon,4,907,CA,San Francisco, ,B4,B,715,"{ ""1"" : ""This area of 18 blocks is zoned second-residential and is 97% built-up with mixed single and multiple-family houses, bungalows and flats -- a few corners being occupied by apartment houses -- ranging in age from new to 30 years and costing from",2.686751,63.85184,0,24.084823,4.376212,5.339897,76.507479,23.492527,0.083297,93.949534,6.050471,100.000006,0,91.224076,0.037626,0.000034,1
910,Polygon,8,909,CA,San Francisco, ,B6,B,714,"{ ""1"" : ""This area consists of some 16 blocks facing on Funston Boulevard, a part-thoroughfare which runs from the Presidio to Golden Gate Park. It is level and is 95% developed with frame, stucco, and brick single-family residences, having a cost range",2.686751,63.85184,0,24.084823,4.376212,5.339897,76.507479,23.492527,0.083297,93.949534,6.050471,100.000006,0,91.224076,0.036941,0.00004,1
913,Polygon,6,912,CA,San Francisco, ,B9,B,724,"{ ""1"" : ""This narrow area, seven blocks in length, is situated on the southerly slope of ridge or plateau occupied by \""A-3\"", which strongly influences the character of its northern part. There are many steep grades and sharp declines on the cross stree",0,46.101905,0,20.089165,33.05502,2.129576,40.343493,59.656514,0,98.302801,1.697206,100.000007,0,99.925241,0.033009,0.000016,1
